op;max_error;core_type;hash;size;flops;mean;dev;sum;sum2;n
sgemm;10;1;0b0dbeb1;12582912;0.000000e+00;4.051306e+01;1.774617e+00;5.095327e+05;2.068234e+07;12577
sgemm;10;0;0b0dbeb1;12582912;0.000000e+00;3.688955e+04;4.362835e+02;1.674786e+07;6.179074e+11;454
sgetrf_nopiv;10;0;aa6d4ef7;4194304;0.000000e+00;1.769064e+04;3.008151e+02;3.325840e+06;5.885326e+10;188
splgsy;10;0;aa6d4ef7;4194304;0.000000e+00;7.130084e+03;2.096396e+02;4.508352e+07;3.217272e+11;6323
strsm;10;1;9a2d19a7;8388608;0.000000e+00;1.502945e+02;6.826476e+00;1.714860e+05;2.582657e+07;1141
strsm;10;0;9a2d19a7;8388608;0.000000e+00;1.983398e+04;3.432354e+02;4.482479e+06;8.893200e+10;226
sgemm;20;1;0b0dbeb1;12582912;0.000000e+00;5.225451e+01;3.184044e+00;1.521338e+06;7.979191e+07;29114
sgemm;20;0;0b0dbeb1;12582912;0.000000e+00;3.688439e+04;4.435473e+02;1.807335e+07;6.667208e+11;490
sgetrf_nopiv;20;0;aa6d4ef7;4194304;0.000000e+00;1.766635e+04;1.491324e+02;3.374272e+06;5.961532e+10;191
splgsy;20;0;aa6d4ef7;4194304;0.000000e+00;7.131709e+03;2.084195e+02;4.509380e+07;3.218705e+11;6323
strsm;20;1;9a2d19a7;8388608;0.000000e+00;1.556879e+02;1.348936e+01;4.510280e+05;7.074676e+07;2897
strsm;20;0;9a2d19a7;8388608;0.000000e+00;1.978624e+04;3.534479e+02;7.934282e+06;1.570397e+11;401
sgemm;30;1;0b0dbeb1;12582912;0.000000e+00;4.740228e+01;6.417585e+00;2.445294e+06;1.180371e+08;51586
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;3.686258e+04;4.207457e+02;1.972148e+07;7.270794e+11;535
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;1.766980e+04;1.582752e+02;3.374931e+06;5.963914e+10;191
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;7.133986e+03;2.210297e+02;4.517240e+07;3.225686e+11;6332
strsm;30;1;9a2d19a7;8388608;0.000000e+00;1.530975e+02;1.629929e+01;5.733500e+05;8.877335e+07;3745
strsm;30;0;9a2d19a7;8388608;0.000000e+00;1.979910e+04;2.963527e+02;6.612901e+06;1.309588e+11;334
sgemm;40;1;0b0dbeb1;12582912;0.000000e+00;4.813149e+01;8.052809e+00;2.657243e+06;1.314772e+08;55208
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;3.686566e+04;4.188518e+02;2.082910e+07;7.679774e+11;565
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;1.765866e+04;2.028937e+02;3.372803e+06;5.956704e+10;191
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;7.134083e+03;2.278246e+02;4.519441e+07;3.227495e+11;6335
strsm;40;1;9a2d19a7;8388608;0.000000e+00;1.539402e+02;1.975123e+01;6.152991e+05;9.627855e+07;3997
strsm;40;0;9a2d19a7;8388608;0.000000e+00;1.979304e+04;3.302211e+02;7.046324e+06;1.395070e+11;356
sgemm;50;1;0b0dbeb1;12582912;0.000000e+00;4.700894e+01;7.226757e+00;2.631654e+06;1.266350e+08;55982
sgemm;50;0;0b0dbeb1;12582912;0.000000e+00;3.691021e+04;4.912424e+02;1.974696e+07;7.289936e+11;535
sgetrf_nopiv;50;0;aa6d4ef7;4194304;0.000000e+00;1.766891e+04;1.510280e+02;3.374762e+06;5.963274e+10;191
splgsy;50;0;aa6d4ef7;4194304;0.000000e+00;7.136823e+03;2.356245e+02;4.521177e+07;3.230202e+11;6335
strsm;50;1;9a2d19a7;8388608;0.000000e+00;1.544021e+02;2.344218e+01;6.486433e+05;1.024605e+08;4201
strsm;50;0;9a2d19a7;8388608;0.000000e+00;1.982728e+04;5.486557e+02;6.285246e+06;1.247147e+11;317
